tocID,title,dateCreated,dateQualifier,dateNote,language,description,identifierLocal,extent,topic,continent,country,province,coordinates,source,role,form,city,state,county,note
goldenbull006-1-4-3-21-063,Golden Bull,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,The restaurant offers a group menu options for its customers.,006-1-4-3-21-063,21 x 27 cm,"Cooking, Chinese | Restaurant – Menus",North America,Canada,Ontario,"+43.6694519, -79.39235689999998 ",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
goodlifehouserestaurant006-1-4-3-21-064,Good Life House Restaurant,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,"The restaurant offers Chinese dishes, delivery options and combination specials menu.",006-1-4-3-21-064,22 x36cm,"Cooking, Chinese | Cooking, Canadian | Restaurant – Menus",North America,Canada,Ontario,"+43.6412606, -79.43454710000003",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
grandmart006-1-4-3-21-065,Grand Mart,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,Grand Mart is a cash and carry outlet that provides bulk food with a wide selection of North American and Asian foods.,006-1-4-3-21-065,21 x 27 cm,Food cooperatives,North America,Canada,Ontario,"+43.7888958999999, -79.2667844",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
goldencity006-1-4-3-21-066,Golden City,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,"The restaurant features Szechuan, seafood and Cantonese dishes, daily dim sum lunches and banquet rooms for customers.",006-1-4-3-21-066,22 x36cm,"Cooking, Chinese – Cantonese style | Cooking, Chinese – Sichuan style | Dim Sum | Cooking (Seafood) | Restaurant – Menus",North America,Canada,Ontario,"+43.5696649, -79.66114419999997",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
happygarden006-1-4-3-21-067,Happy Garden,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng,"The restaurant features Chinese dishes, coupons for customers and delivery and take out options.",006-1-4-3-21-067,22 x36cm,"Cooking, Chinese | Restaurant – Menus",North America,Canada,Ontario,"+43.7291529, -79.4181132",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
hoyuen006-1-4-3-21-068,Ho Yuen,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,"The restaurant features Chinese dishes, offers business lunches and catering and banquet facility.  The menu for the restaurant is a take out menu.",006-1-4-3-21-068,22 x36cm,"Cooking, Chinese | Restaurant – Menus",North America,Canada,Ontario,"+43.6553366, -79.38448089999997",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
houseofchiu006-1-4-3-21-069,House of Chiu,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,"The restaurant features Chinese dishes, offers combination plates and family set dinners and offers discounts on pick up orders.",006-1-4-3-21-069,22 x36cm,"Cooking, Chinese | Restaurant – Menus",North America,Canada,Ontario,"+43.7992013, -79.42038230000003",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
houseofchiu006-1-4-3-21-070,House of Chiu,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,The restaurant features a Mother’s Day Dinner set.,006-1-4-3-21-070,21 x 27 cm,"Cooking, Chinese | Restaurant – Menus",North America,Canada,Ontario,"+43.7992013, -79.42038230000003",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
houseofte006-1-4-3-21-071,House of Te,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng,The restaurant features Chinese dishes and large group menu options.  The restaurant also offers catering for special occasions. ,006-1-4-3-21-071,22 x36cm,"Cooking, Chinese | Restaurant – Menus | Caterers and Catering",North America,Canada,Ontario,"+43.7388296, -79.53941429999998",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
imperialbuffet006-1-4-3-21-072,Imperial Buffet,1996,inferred,The exact date for this resource is unknown. The date provided is an estimate.,eng,"The restaurant features Chinese dishes, coupons for customers and delivery and take out options.",006-1-4-3-21-072,22 x36cm,"Cooking, Chinese | Restaurant – Menus ",North America,Canada,Ontario,"+43.7865611, -79.46883539999999",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
indiapalace006-1-4-3-21-073,India Palace,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng,The restaurants features Indian dishes and offers a take out option.,006-1-4-3-21-073,22 x36cm,"Cooking, Indic | Restaurant – Menu",North America,Canada,Ontario,"+44.232049, -76.48447520000002",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
indiapalace006-1-4-3-21-074,India Palace,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng,The restaurants features Indian dishes and offers a take out option.,006-1-4-3-21-074,22 x36cm,"Cooking, Indic | Restaurant – Menu",North America,Canada,Ontario,"+44.232049, -76.48447520000002",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
jadedynasty006-1-4-3-21-075,Jade Dynasty,1998,inferred,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,The restaurant features Chinese dishes including Dim Sum and seafood options. The restaurant also offers a banquet rooms and coupons for its customers.,006-1-4-3-21-075,21 x 27 cm,"Cooking, Chinese | Cooking (Seafood) | Dim Sum | Restaurant – Menu",North America,Canada,Ontario,"+43.79109349999999, -79.36765809999997",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
jadehouse006-1-4-3-21-076,Jade House,2000,inferred,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,"The restaurant features Chinese dishes, offers combination platters, special family dinner options and coupons for its customers.  The restaurant also offers a delivery and take out option.",006-1-4-3-21-076,22 x36cm,"Cooking, Chinese | Vegetarian restaurants | Restaurant – Menu",North America,Canada,Ontario,"+43.7547872, -79.4420958",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
jadehouserestaurant006-1-4-3-21-077,Jade House Restaurant,1999,inferred,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,"The restaurant features Chinese dishes, offers combination platters, special family dinner options and coupons for its customers.  The restaurant also offers a delivery and take out option.",006-1-4-3-21-077,22 x36cm,"Cooking, Chinese | Vegetarian restaurants | Restaurant – Menu",North America,Canada,Ontario,"+43.7547872, -79.4420958",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
jadepalace006-1-4-3-21-078,Jade Palace,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,"The restaurant features Chinese and Canadian dishes and offers catering for wedding, banquets, meetings and parties. The restaurant also offers take out order option.",006-1-4-3-21-078,22 x36cm,"Cooking, Chinese – Sichuan style | Cooking, Chinese – Cantonese style |  Cooking, Canadian | Restaurant – Menus",North America,Canada,Ontario,"+42.02784940000001, -82.73761689999998",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
